doc_id,pair_id,condition,focal_gender,word_count,sentence_count
1,1,flipped,male,371,21
2,1,original,female,356,17
3,2,flipped,female,365,16
4,2,original,male,376,16
5,3,flipped,male,380,16
6,3,original,female,384,17
7,4,flipped,male,375,18
8,4,original,female,350,17
9,5,flipped,male,383,21
10,5,original,female,354,17
11,6,flipped,male,393,16
12,6,original,female,353,15
13,7,flipped,male,361,17
14,7,original,female,377,16
15,8,flipped,female,359,15
16,8,original,male,361,16
17,9,flipped,male,357,16
18,9,original,female,378,18
19,10,flipped,,354,16
20,10,original,,375,20
21,11,flipped,female,375,23
22,11,original,male,353,17
23,12,flipped,female,354,15
24,12,original,male,352,19
25,13,flipped,male,358,15
26,13,original,female,350,16
27,14,flipped,male,377,17
28,14,original,female,372,16
29,15,flipped,female,353,15
30,15,original,male,354,17
31,16,flipped,male,360,21
32,16,original,female,357,18
33,17,flipped,,350,14
34,17,original,,365,16
35,18,flipped,male,351,20
36,18,original,female,368,23
37,19,flipped,male,371,16
38,19,original,female,368,17
39,20,flipped,female,364,17
40,20,original,male,370,19
41,21,flipped,male,359,16
42,21,original,female,376,17
43,22,flipped,male,355,18
44,22,original,female,358,17
45,23,flipped,male,362,16
46,23,original,female,351,17
47,24,flipped,female,366,17
48,24,original,male,374,20
49,25,flipped,female,378,17
50,25,original,male,366,16
51,26,flipped,female,374,19
52,26,original,male,368,26
53,27,flipped,female,385,21
54,27,original,male,388,19
55,28,flipped,male,373,22
56,28,original,female,373,17
57,29,flipped,female,354,16
58,29,original,male,364,18
59,30,flipped,female,358,17
60,30,original,male,364,16
61,31,flipped,male,372,15
62,31,original,female,372,14
63,32,flipped,female,356,17
64,32,original,male,359,17
65,33,flipped,,378,17
66,33,original,,350,15
67,34,flipped,male,380,17
68,34,original,female,354,21
69,35,flipped,male,359,17
70,35,original,female,360,17
71,36,flipped,male,379,23
72,36,original,female,406,21
73,37,flipped,female,366,17
74,37,original,male,350,14
75,38,flipped,female,366,19
76,38,original,male,362,17
77,39,flipped,male,351,17
78,39,original,female,356,15
79,40,flipped,female,352,17
80,40,original,male,354,15
81,41,flipped,female,362,18
82,41,original,male,376,16
83,42,flipped,male,369,16
84,42,original,female,363,17
85,43,flipped,male,387,19
86,43,original,female,365,17
